"Município";"Menos de 500g";"500 a 999g";"1000 a 1499 g";"1500 a 2499 g";"2500 a 2999 g";"3000 a 3999 g";"4000g e mais";"Total"
"330510 São João de Meriti";16;42;56;550;1709;4113;302;6788
"Total";16;42;56;550;1709;4113;302;6788
